Comment,URL,Year,NumAuth,Agency,ReportSeries,Branch,Citation,Title,FirstAuthor,AllAuthors
,#N/A,1971,1,NOAA,NOAA Tech Memo,NWFC,"Ebel, W. J. 1971. Dissolved Nitrogen Concentrations in the Columbia and Snake Rivers in 1970 and their Effect on Chinook Salmon and Steelhead Trout. U.S. Dept. of Commerce, NOAA Tech. Memo., NMFS-SSRF-646, 13 p.",,TBI,TBI
,URL: http://www.afsc.noaa.gov/Publications/ProcRpt/Fur_Seal_Investigation_1970.pdf,1971,UFO,NOAA,Processed Report,AFSC,"MARINE MAMMAL DIVISION. 1971. Fur seal investigations, 1970. NWFC Processed Rep., 155 p. Northwest Fish. Cent., Natl. Mar. Fish. Serv., NOAA, 7600 Sand Point Way NE, Seattle, WA 98115-0070. (.pdf, 34.2 MB).","Fur seal investigations, 1970.",TBI,TBI
,URL: http://www.afsc.noaa.gov/Publications/ProcRpt/Fur_Seal_Investigation_1971.pdf,1972,UFO,NOAA,Processed Report,AFSC,"MARINE MAMMAL DIVISION. 1972. Fur seal investigations, 1971. NWFC Processed Rep., 132 p. Northwest Fish. Cent., Natl. Mar. Fish. Serv., NOAA, 7600 Sand Point Way NE, Seattle, WA 98115-0070. (.pdf, 33.4 MB).","Fur seal investigations, 1971.",TBI,TBI
,#N/A,1973,3,NOAA,F/NWC Technical Memorandum,AFSC,"DANGEL, JAMES R., PAUL T. MACY, and FRED C. WITHLER. 1973. Annotated bibliography of interspecific hybridization of fishes of the subfamily Salmoninae. U.S. Dep. Commer., Natl. Mar. Fish. Serv., NOAA Tech. Memo. NMFS F/NWC-1, 48 p.",Annotated bibliography of interspecific hybridization of fishes of the subfamily Salmoninae.,TBI,TBI
,URL: http://www.afsc.noaa.gov/Publications/ProcRpt/Fur_Seal_Investigation_1972.pdf,1973,UFO,NOAA,Processed Report,AFSC,"MARINE MAMMAL DIVISION. 1973. Fur seal investigations, 1972. NWFC Processed Rep., 93 p. Northwest Fish. Cent., Natl. Mar. Fish. Serv., NOAA, 7600 Sand Point Way NE, Seattle, WA 98115-0070. (.pdf, 17.8 MB).","Fur seal investigations, 1972.",TBI,TBI
,#N/A,1974,UFO,NOAA,Processed Report,AFSC,"ALASKA REGIONAL OFFICE, NORTHWEST REGIONAL OFFICE, and NORTHWEST FISHERIES CENTER. 1974. Preliminary results of an industry-government venture on Alaska groundfish. NWFC Processed Rep., 72 p. Northwest Fish. Cent., Natl. Mar. Fish. Serv., NOAA, 7600 Sand Point Way NE, Seattle, WA 98115-0070.",Preliminary results of an industry-government venture on Alaska groundfish.,TBI,TBI
,#N/A,1974,2,NOAA,Other Technical Memorandum,AFSC,"BAILEY, JACK E., and SIDNEY G. TAYLOR. 1974. Salmon fry production in a gravel incubator hatchery, Auke Creek, Alaska, 1971-72. U.S. Dep. Commer., NOAA Tech. Memo. NMFS ABL-3. 13 p.","Salmon fry production in a gravel incubator hatchery, Auke Creek, Alaska, 1971-72.",TBI,TBI
,#N/A,1974,1,NOAA,Processed Report,AFSC,"EBEL, W. J. 1974. Snake River runs of salmon and steelhead trout: Collection and transportation experiments at Little Goose Dam, 1971-74. NWFC Processed Rep., 3 p. Northwest Fish. Cent., Natl. Mar. Fish. Serv., NOAA, 7600 Sand Point Way NE, Seattle, WA 98115-0070.","Snake River runs of salmon and steelhead trout: Collection and transportation experiments at Little Goose Dam, 1971-74.",TBI,TBI
,#N/A,1974,1,NOAA,Processed Report,AFSC,"FUKUHARA, F. M. 1974. Preliminary study of the biological considerations regarding management of the eastern Bering Sea king crab stocks by size, sex, and season (3S). NWFC Processed Rep., (not paginated). Northwest Fish. Cent., Natl. Mar. Fish. Serv., NOAA, 7600 Sand Point Way NE, Seattle, WA 98115-0070.","Preliminary study of the biological considerations regarding management of the eastern Bering Sea king crab stocks by size, sex, and season (3S).",TBI,TBI
,#N/A,1974,2,NOAA,Processed Report,AFSC,"HUGHES, S. E., and M. S. ALTON. 1974. Trawl surveys of groundfish resources near Kodiak Island, Alaska, 1973. NWFC Processed Rep., (not paginated). Northwest Fish. Cent., Natl. Mar. Fish. Serv., NOAA, 7600 Sand Point Way NE, Seattle, WA 98115-0070.","Trawl surveys of groundfish resources near Kodiak Island, Alaska, 1973.",TBI,TBI
